# format org.openvanilla.mcbopomofo.sorted
七-ㄑㄧ-彩-ㄘㄞˇ -5.8869
七-ㄑㄧ-律-ㄌㄩˋ -6.1531
七-ㄑㄧ-情-ㄑㄧㄥˊ-六-ㄌㄧㄡˋ-慾-ㄩˋ -6.2014
七-ㄑㄧ-成-ㄔㄥˊ -5.0684
七-ㄑㄧ-折-ㄓㄜˊ -6.1879
七-ㄑㄧ-日-ㄖˋ -4.5769
七-ㄑㄧ-星-ㄒㄧㄥ -5.7108
七-ㄑㄧ-星-ㄒㄧㄥ-山-ㄕㄢ -5.8928
七-ㄑㄧ-月-ㄩㄝˋ -4.2534
七-ㄑㄧ-月-ㄩㄝˋ-份-ㄈㄣˋ -5.3524
七-ㄑㄧ-樓-ㄌㄡˊ -6.0910
七-ㄑㄧ-次-ㄘˋ -5.8691
七-ㄑㄧ-百-ㄅㄞˇ -4.7024
七-ㄑㄧ-種-ㄓㄨㄥˇ -6.1209
七-ㄑㄧ-絕-ㄐㄩㄝˊ -5.6543
七-ㄑㄧ-股-ㄍㄨˇ -5.6650
七-ㄑㄧ-股-ㄍㄨˇ-鄉-ㄒㄧㄤ -6.2202
七-ㄑㄧ-萬-ㄨㄢˋ -5.1179
七-ㄑㄧ-號-ㄏㄠˋ -5.0418
七-ㄑㄧ-言-ㄧㄢˊ -5.7900
七-ㄑㄧ-言-ㄧㄢˊ-絕-ㄐㄩㄝˊ-句-ㄐㄩˋ -6.2014
七-ㄑㄧ-里-ㄌㄧˇ-香-ㄒㄧㄤ -6.2202
七-ㄑㄧ-隻-ㄓ -6.1531
七-ㄑㄧ-零-ㄌㄧㄥˊ-年-ㄋㄧㄢˊ-代-ㄉㄞˋ -5.2893
七-ㄑㄧ-點-ㄉㄧㄢˇ -4.7512
七-ㄑㄧ-點-ㄉㄧㄢˇ-鐘-ㄓㄨㄥ -6.0441
七-ㄑㄧ-龍-ㄌㄨㄥˊ-珠-ㄓㄨ -6.0441
丈-ㄓㄤˋ-二-ㄦˋ-和-ㄏㄜˊ-尚-ㄕㄤˋ -6.9795
丈-ㄓㄤˋ-二-ㄦˋ-金-ㄐㄧㄣ-剛-ㄍㄤ -6.9795
丈-ㄓㄤˋ-人-ㄖㄣˊ -6.1879
丈-ㄓㄤˋ-夫-ㄈㄨ -4.5638
丈-ㄓㄤˋ-母-ㄇㄨˇ -6.0366
丈-ㄓㄤˋ-母-ㄇㄨˇ-娘-ㄋㄧㄤˊ -6.2782
丈-ㄓㄤˋ-量-ㄌㄧㄤˊ -6.4220
丈-ㄓㄤˋ-量-ㄌㄧㄤˊ-法-ㄈㄚˇ -7.4243
三-ㄙㄢ-七-ㄑㄧ -5.1807
三-ㄙㄢ-九-ㄐㄧㄡˇ -5.2848
三-ㄙㄢ-人-ㄖㄣˊ -5.0315
三-ㄙㄢ-代-ㄉㄞˋ -5.2542
三-ㄙㄢ-位-ㄨㄟˋ -5.0046
三-ㄙㄢ-個-ㄍㄜ˙ -4.1814
三-ㄙㄢ-個-ㄍㄜ˙-人-ㄖㄣˊ -5.1739
三-ㄙㄢ-個-ㄍㄜ˙-月-ㄩㄝˋ -4.6777
三-ㄙㄢ-億-ㄧˋ -5.0240
